id,streetName,city,buildingNr,postalCode,apartmentNr
159,Bowman,Abnūb,589,,159
160,Chive,Xuxiake,32,,160
161,Knutson,Camias,2310,2307,161
162,Lukken,Mīr Bachah Kōṯ,5409,,162
163,Glendale,Suocheng,53,,163
164,Corry,Aracataca,8629,472008,164
165,Harper,Temirtau,04058,,165
166,Hoepker,Gading,9103,,166
167,Moland,Fenggang,85,,167
168,Rowland,Jiangmen,266,,168
169,Crowley,Shofirkon,0,,169
170,Montana,General Lavalle,3604,7103,170
171,4th,Guta,08,,171
172,Pearson,Zharkent,25982,,172
173,Mcguire,Vondrozo,605,,173
174,Continental,Xinxing,16324,,174
175,Sullivan,Klek,5,,175
176,Arrowood,Zhucun,8540,,176
177,Milwaukee,Wentang,03576,,177
178,Schiller,Xom Tan Long,8170,,178
179,Monterey,Lianzhu,1384,,179
180,Sloan,Deh-e Now,5,,180
181,Oriole,Póvoa,121,2460-402,181
182,Eastwood,Vilarelho,46141,4910-597,182
183,Ruskin,Miyako,9,969-6522,183
184,Kings,Cocachacra,8921,,184
185,Annamark,Maishi,688,,185
186,Onsgard,Maebaru,0,865-0126,186
187,Clarendon,Norrahammar,7655,562 24,187
188,Killdeer,Foshan,1394,,188
189,Almo,Luyang,0766,,189
190,Colorado,Burmakino,63,152295,190
191,Drewry,Dengzhou,1792,,191
192,Westridge,Op,8,,192
193,Delladonna,Dongping,9,,193
194,Schurz,Saint-Chamond,9368,42404 CEDEX,194
195,Shasta,Yanji,63935,,195
196,Buena Vista,Wanmu,34527,,196
197,Boyd,Luau,5,,197
198,Independence,Quchanghī,94,,198
199,Nelson,Mobile,5083,36689,199
200,Northport,Rizal,447,7104,200
201,Cordelia,Chastyye,805,617191,201
202,Larry,Santiago De Compostela,17,15899,202
203,Dawn,Mujur,85,,203
204,Independence,Sobral da Adiça,8968,7875-354,204
205,Maple Wood,Guifeng,7,,205
206,Old Shore,Babahoyo,533,,206
207,Canary,Ko Chan,32687,20240,207
208,Express,Masoyila,8,,208
209,Golf Course,Anjie,8663,,209
210,Vermont,Saint Louis,0309,63131,210
211,Melody,Talisayan,46,9012,211
212,Melody,Tyoply Stan,7004,391237,212
213,Lakewood Gardens,Vol’no-Nadezhdinskoye,935,238603,213
214,Haas,Karabas,03796,,214
215,Toban,Taiyigong,5,,215
216,Bluejay,Strömsund,0371,833 92,216
217,Debra,Seremban,8,70536,217
218,Red Cloud,Oefau,9322,,218
219,Springview,Knyazhichi,3247,,219
220,Duke,Sātkania,21,4398,220
221,Cody,Florianópolis,17,88000-000,221
222,Di Loreto,Susoh,72774,,222
223,Springview,Rydułtowy,74357,44-280,223
224,Macpherson,Sremska Mitrovica,4,,224
225,Hanson,Bābol,6509,,225
226,Fisk,Horizonte,7033,62880-000,226
227,Columbus,Muramvya,4,,227
228,Burrows,Domampot,2617,2445,228
229,Sachtjen,General La Madrid,5834,7406,229
230,Bonner,Agualva,3,9760-016,230
231,Talisman,Sanjia,69249,,231
232,Warrior,Andrushivka,55833,,232
233,Dawn,Federal,955,3180,233
234,Kingsford,Causwagan,1295,1709,234
235,Northland,Reims,612,51054 CEDEX,235
236,Mayfield,Apuri,9475,,236
237,Mandrake,Fuzhai,316,,237
238,Nelson,Kabare,5,,238
239,Hansons,Oemofa,27,,239
240,Morningstar,Topdac,919,2612,240
241,Steensland,Weixin,29,,241
242,Old Shore,Lam Plai Mat,78168,43120,242
243,Oak,Bendoroto,70,,243
244,Darwin,Embarcación,9,4550,244
245,5th,Klisura,4,4341,245
246,Granby,Uyovu,1,,246
247,Sage,Xiang Ngeun,54500,,247
248,Golden Leaf,Alderetes,2969,4178,248
249,Oxford,Martingança,469,2445-705,249
250,Kinsman,Cradock,090,5884,250
251,Dottie,Muldersdriseloop,36512,3250,251
252,Eagan,Cimişlia,05706,MD-4112,252
253,Lyons,Dŭstí,6602,,253
254,Sunfield,Linmansangan,5,4335,254
255,Katie,Kuala Bintang,04,,255
256,Namekagon,San Jose,6,95194,256
257,Farmco,Nikísiani,48,,257
258,Sheridan,Kvissleby,321,862 24,258
259,Esker,Seaton,91232,LE15,259
260,Schmedeman,Sveg,17896,842 93,260
261,Sherman,Água Preta,295,55550-000,261
262,Mayer,Sundsvall,22876,851 83,262
263,Bultman,Longos,29115,1472,263
264,Oak Valley,Anthoúsa,77148,,264
265,Sunnyside,Čerčany,37376,257 22,265
266,Spenser,Kleszczów,56279,97-410,266
267,Briar Crest,Laiyuan,4,,267
268,School,Sanxi,7999,,268
269,Esker,Nyrkiv,78874,,269
270,Katie,Na Yong,75093,92170,270
271,Michigan,Parang,29,,271
272,Eagle Crest,Sinamaica,9839,,272
273,Wayridge,Piran,6,6333,273
274,Carpenter,Creil,210,60109 CEDEX 1,274
275,Harbort,Protaras,3,,275
276,Darwin,Wucun,9881,,276
277,Union,Chaoyang,72586,,277
278,Schlimgen,Cotaparaco,9069,,278
279,Messerschmidt,Grijó,90239,4415-400,279
280,Sycamore,Pozo Hondo,2200,3714,280
281,Green,Quinuabamba,589,,281
282,Briar Crest,Uherský Ostroh,7619,687 24,282
283,Algoma,Aniva,68013,694030,283
284,Blackbird,Mino,8,709-4306,284
285,Twin Pines,Kremenets’,84333,,285
286,Dapin,Ribeirópolis,573,49530-000,286
287,Crest Line,La Cumbre,9,6354,287
288,Manley,Paringin,18,,288
289,5th,San Isidro,3255,8421,289
290,Iowa,San Miguel,1619,58805,290
291,Schmedeman,Nacka,8455,131 83,291
292,Bunker Hill,Pulau Pinang,2944,10512,292
293,Maple,Kut Bak,4,47180,293
294,Colorado,Sonsón,46792,054829,294
295,Bashford,Firenze,4615,50124,295
296,Maywood,San Antonio de los Cobres,2401,4411,296
297,Oak,Grajaú,276,65940-000,297
298,Old Shore,Butigui,18157,3508,298
299,Monica,Guyancourt,39,78045 CEDEX,299
300,Tony,Pandan,795,5712,300
301,Alpine,Susunan,6,,301
302,Monument,Andradas,82,37795-000,302
303,Bunting,Valera,67,,303
304,Bartelt,Santa María de Jesús,3,03011,304
305,Springs,Ogod,21,4715,305
306,Myrtle,Kuantan,849,25646,306
307,Eagan,Hihyā,70103,,307
308,Surrey,Mevo horon,9,,308
309,Kinsman,Shenwan,58,,309
310,Northfield,Comitancillo,301,12004,310
311,Crowley,Santa Fe,5,87505,311
312,Moland,Sheshan,2,,312
313,Hanover,Kuivaniemi,9,95100,313
314,Karstens,Puerto Obaldía,4,,314
315,Banding,Babo-Pangulo,44,4326,315
316,Fremont,Luyang,04,,316
317,Melby,Bako,2,,317
318,Jana,Media Luna,71413,,318
319,Hanover,Tamanar,99,,319
320,Mayer,Miaoshou,7109,,320
321,Moose,Zürich,8184,8012,321
322,Shoshone,Fordon,2,86-055,322
323,Parkside,Soljani,6017,32255,323
324,Pond,Lümeng,5,,324
325,Granby,Baran,49937,,325
326,Green,Forssa,30240,30421,326
327,Golf,São Miguel do Rio Torto,8397,2205-554,327
328,Evergreen,Bamban,0784,,328
329,Eggendart,Fushi,44,,329
330,Linden,Frösön,496,832 93,330
331,Westend,Hongtian,86,,331
332,Almo,Anaheim,05,92825,332
333,Sutherland,Al Jabīn,65971,,333
334,Jenifer,Pailin,30,,334
335,Pearson,Annino,57192,346516,335
336,Milwaukee,Hetang,26,,336
337,Cottonwood,Xinfeng,7,,337
338,Columbus,Shangshaleng,88658,,338
339,Acker,Vale de Figueira,6137,2000-715,339
340,Continental,Rodnikovskaya,5334,357565,340
341,4th,Tiantang,955,,341
342,Express,Baćkowice,499,27-552,342
343,Ridgeview,Nantang,06,,343
344,Messerschmidt,Sinegor'ye,11894,404102,344
345,Vera,Kesheng,53,,345
346,Schlimgen,Congkar,175,,346
347,Brentwood,Laojun,86617,,347
348,Sachtjen,Port Sudan,94747,,348
349,Reinke,Shaydon,364,,349
350,Hansons,San Enrique,011,6104,350
351,Pepper Wood,Alqueva,2,7220-043,351
352,Swallow,Shangxing,8,,352
353,Jana,Głogów Małopolski,150,36-060,353
354,Oak Valley,Krasnyy Oktyabr’,44,601021,354
355,Michigan,Dukuhturi,24608,,355
356,Leroy,Västerås,1415,721 00,356
357,Burning Wood,Bipolo,43,,357
358,Toban,Vilarinho,29155,3200-399,358
359,Glacier Hill,Forestville,03,G2B,359
360,Iowa,Bieqiao,73,,360
361,Mccormick,Lýkeio,5,,361
362,Butterfield,Riangbaring,3232,,362
363,Hauk,Xiwanzi,11350,,363
364,Gina,Cruz das Almas,8,44380-000,364
365,Haas,Tīrān,4283,,365
366,Mandrake,Avdzaga,63126,,366
367,Dottie,Mangochi,6280,,367
368,Carberry,Liquica,109,,368
369,Hovde,Buarcos,755,3080-222,369
370,Coleman,Las Palmas,15358,95600,370
371,Schurz,Guohe,5883,,371
372,Grim,Alīpur,66317,34451,372
373,Weeping Birch,Kolyubakino,422,143144,373
374,Waxwing,Mīrwāh Gorchani,8,36121,374
375,Straubel,Busungbiu,963,,375
376,Coolidge,Badai,55,,376
377,Donald,Salaš Crnobarski,13,,377
378,Corry,Pambuhan,127,8303,378
379,Cambridge,Despotovac,4977,,379
380,Briar Crest,Santa Elena,18654,4135,380
381,Sutherland,Dadus,8942,9608,381
382,Johnson,Pobé,688,,382
383,Porter,Atami,99132,413-0033,383
384,Menomonie,Kagoshima-shi,3,892-0873,384
385,Mcguire,Maying,44748,,385
386,Rieder,San José de La Montaña,6426,051417,386
387,Montana,Sirājganj,9479,5611,387
388,Iowa,Daqiao,9813,,388
389,Warrior,Chimbas,96,5413,389
390,Stone Corner,Linglong,04653,,390
391,2nd,Psygansu,469,361326,391
392,Ramsey,Phoenix,24367,85072,392
393,High Crossing,Lianrao,687,,393
394,Laurel,Molsheim,681,67124 CEDEX,394
395,Texas,San Juan,11,6227,395
396,Village Green,Paris 05,5370,75235 CEDEX 05,396
397,Susan,Tajimi,4332,507-0901,397
398,Orin,Novokuybyshevsk,53815,446209,398
399,Schlimgen,Villa Nueva,88535,,399
400,Lakewood Gardens,Skutskär,40467,814 41,400
401,Carey,Tanjung Raja,50664,,401
402,Ramsey,Güira de Melena,81171,,402
403,Arizona,La Palma,31,60433,403
404,Petterle,Pabean,5,,404
405,Gale,Temuji,0,,405
406,Stang,Stylída,7360,,406
407,Redwing,Leuweheq,7,,407
408,Rockefeller,Çepan,9147,,408
409,Schlimgen,Kasiyan,73984,,409
410,Towne,Afareaitu,6,,410
411,Forster,Pengchang,9918,,411
412,Calypso,Thiès Nones,3173,,412
413,Vahlen,Alannay,20,3524,413
414,Hazelcrest,Konga,79226,,414
415,Blue Bill Park,Ternovka,241,397229,415
416,Oriole,Anggana,55832,,416
417,Merrick,Touguinha,3,4480-493,417
418,Hauk,Rovnoye,31,413270,418
419,Hooker,Padova,936,35141,419
420,Hanson,Lueng Putu,3,,420
421,Main,Serere,54,,421
422,East,Daze,100,,422
423,Lawn,Al Munīrah,6653,,423
424,Utah,Koszęcin,1201,42-286,424
425,Hoard,Ōmagari,68,630-2355,425
426,Oriole,Port Nolloth,1275,8284,426
427,Harbort,Tabu,17210,6122,427
428,Golf View,Vostryakovo,15,141662,428
429,Atwood,Mel’nikovo,4,636132,429
430,Donald,Želiv,702,394 44,430
431,Logan,Gaoliang,281,,431
432,Shopko,Mugango,858,,432
433,Hudson,Chão,09,4990-565,433
434,Alpine,Tapiramutá,377,44840-000,434
435,Prentice,Villa Paula de Sarmiento,3501,5413,435
436,Northridge,Likhovskoy,7,347820,436
437,Carberry,Cupira,64386,55460-000,437
438,Fisk,Mórrope,1,,438
439,Harper,Chalon-sur-Saône,77,71332 CEDEX,439
440,Hintze,Paris La Défense,07157,92056 CEDEX,440
441,Portage,Lo Prado,721,,441
442,Shoshone,Datong,02949,,442
443,Rigney,Maués,48875,69190-000,443
444,Debs,Al Mazzūnah,8264,,444
445,Elka,Starigrad,75,53284,445
446,Mendota,Qvareli,6,,446
447,Anzinger,Carolina,609,65980-000,447
448,Bluejay,Berea,00362,4362,448
449,Lakeland,Tayāsīr,27676,,449
450,Brickson Park,Hiratsuka,123,820-0702,450
451,Loeprich,Três Pontas,28129,37190-000,451
452,Declaration,Roslavl’,59618,216507,452
453,Hoard,Oekero,06,,453
454,Linden,Otaru,771,869-1203,454
455,Crownhardt,Kristinestad,0334,41270,455
456,Sullivan,Gereneng,22426,,456
457,Cottonwood,Casilda,04069,2170,457
458,Burrows,Vyshchetarasivka,75,,458
459,Annamark,Daliyuan,2295,,459
460,Paget,Kuroishi,418,789-0250,460
461,Forest,Nanhe,8,,461
462,Golf,Limassol,251,,462
463,Linden,Muyi,82974,,463
464,Ohio,Utrecht,4649,2980,464
465,Hayes,Veguitas,280,,465
466,Westend,Tingzhou,9175,,466
467,Raven,Guaíra,32907,14790-000,467
468,Marcy,Mardzad,76,,468
469,Sutteridge,Tall aḑ Ḑamān,0,,469
470,Rockefeller,Palmito,683,706037,470
471,Granby,Santo Antônio de Posse,8,13830-000,471
472,Eastwood,Boulemane,54447,,472
473,Barnett,Mmaaf,1405,,473
474,Delladonna,Mumen,985,,474
475,Cordelia,Khānewāl,8557,58181,475
476,Kingsford,Zhenzhushan,5819,,476
477,Larry,Guoxiang,045,,477
478,Shelley,Passo Fundo,63854,99000-000,478
479,4th,Mont-Saint-Hilaire,69950,J3H,479
480,Vidon,Jiyizhuang,61710,,480
481,Randy,Salacgrīva,162,,481
482,Armistice,Gurbuki,6789,368547,482
483,Stuart,Monkey Hill,2,,483
484,Hermina,Tanggung,3,,484
485,Spohn,Moyuan,954,,485
486,Thackeray,Kuštilj,34884,,486
487,Chive,Łęki Szlacheckie,14,97-352,487
488,Novick,San Miguel,761,,488
489,Randy,Stanisław Górny,8,34-103,489
490,Sommers,Changkeng,322,,490
491,Sage,Carhuamayo,21,,491
492,American,Sang-e Chārak,42983,,492
493,International,Kunting,0386,,493
494,Autumn Leaf,Heyan,003,,494
495,Carey,Taiping,85,,495
496,Dryden,Chengyang,4,,496
497,Cherokee,Yuci,32,,497
498,Lakeland,Cahors,53,46091 CEDEX 9,498
499,Eagle Crest,Rivera,537,413008,499
500,Tony,Qishn,67329,,500
501,Bonner,Novoselë,35931,,501
502,Di Loreto,Lianshan,146,,502
503,Morning,Budënnovsk,266,356825,503
504,Northport,Baie-Saint-Paul,2331,G3Z,504
505,Buell,Emiliano Zapata,17977,91560,505
506,Corscot,Huimin,07,,506
507,Toban,Del Rosario,40034,5408,507
508,Scott,Pueblo Nuevo,143,,508
509,Muir,Rothesay Bay,8,0794,509
510,Melody,Milot,1,,510
511,Chive,Hövsan,0,,511
512,Tomscot,Suidong,846,,512
513,Dwight,Karang,2,,513
514,Superior,Sadabumi,9444,,514
515,Transport,Bayeux,3,58305-000,515
516,Manley,Speightstown,1,,516
517,Lighthouse Bay,Hongdun,6,,517
518,Fordem,Chai Badan,28,15130,518
519,Ryan,Örnsköldsvik,2694,891 25,519
520,Ramsey,Gaotai,3417,,520
521,Grayhawk,Srabah,6,,521
522,Hazelcrest,Jiangshan,6327,,522
523,Hoffman,Maoping,99075,,523
524,Schlimgen,Ifanadiana,5,,524
525,5th,Hechuan,6,,525
526,Randy,Bokaa,17951,,526
527,Anthes,Pandean,231,,527
528,Blue Bill Park,Pittsburgh,80,15250,528
529,Thompson,Xiangyun,898,,529
530,Rockefeller,Yumani,8,,530
531,Sutherland,Boshan,69,,531
532,Moose,Orange Farm,738,1841,532
533,Troy,Candi,691,,533
534,Havey,Trenton,95,08650,534
535,Huxley,As Sukhnah,3785,,535
536,Thackeray,Sosnytsya,931,,536
537,Corscot,Venda,412,4620-472,537
538,Dapin,Staffanstorp,8,245 41,538
539,Waxwing,Ninomiya,7000,929-1811,539
540,Mallard,Eslöv,2121,241 91,540
541,Russell,Bārah,0131,,541
542,Hayes,Sharga,7,,542
543,Muir,Lipie,53,42-165,543
544,Esch,Weifen,574,,544
545,Hoepker,Klonowa,86776,98-273,545
546,Moland,Pristen’,03450,306205,546
547,Daystar,Wuxiang,3,,547
548,Briar Crest,Uvarovo,32,393479,548
549,Carpenter,Pitkyaranta,8,186810,549
550,Spohn,Arapuey,85,,550
551,Rockefeller,Iwierzyce,700,39-124,551
552,Corscot,Hengshan,97,,552
553,Stone Corner,Řehlovice,0851,403 13,553
554,Gale,Hezheng Chengguanzhen,03,,554
555,Dryden,Sadská,091,289 12,555
556,Reindahl,Bobigny,16495,93005 CEDEX,556
557,Buhler,Banyutengah,803,,557
558,Hanson,Doljo,52,6340,558
559,Dayton,Kohtla-Järve,0,,559
560,Huxley,Noşratābād,36,,560
561,Pepper Wood,Darkovice,8207,747 17,561
562,Graedel,Ushumun,9,676135,562
563,Gateway,Soanierana Ivongo,1471,,563
564,Nobel,Roissy Charles-de-Gaulle,835,95915 CEDEX 2,564
565,Victoria,Mezinovskiy,12,601525,565
566,Fulton,Mórrope,29,,566
567,Ridgeview,Huangdimiao,42,,567
568,Ronald Regan,Las Toscas,751,,568
569,Golf View,Nepomuceno,27846,37250-000,569
570,Jenifer,Koumac,47896,98850,570
571,Anhalt,Inírida,95810,940028,571
572,Stuart,Issia,3635,,572
573,Packers,Santo Tomas,0,,573
574,Monument,Tianchi,31,,574
575,Little Fleur,Baghlān,556,,575
576,Bay,La Cuesta,9390,,576
577,Golf View,Yambrasbamba,9,,577
578,Longview,Międzyrzecz,9,66-302,578
579,Forest Run,Choca do Mar,16,3840-032,579
580,Forest,Pasiraman,947,,580
581,Helena,Carepa,1208,057858,581
582,Towne,Ñuñoa,713,,582
583,Summer Ridge,Nong Bua Lamphu,15686,96130,583
584,Coleman,Zhangye,07326,,584
585,Banding,Shunling,26,,585
586,Tomscot,Muara Siberut,3598,,586
587,Huxley,Río Segundo,1119,5972,587
588,Marquette,Chiang Rai,71653,57000,588
589,Weeping Birch,Klonowa,9437,98-273,589
590,Havey,Peseng,8,,590
591,Dixon,Koumra,4,,591
592,Bluestem,Ljutomer,235,9240,592
593,Ludington,Trąbki Wielkie,6,83-034,593
594,High Crossing,Korydallós,2,,594
595,Cambridge,Ayotupas,91123,,595
596,Graceland,Huangjinbu,49,,596
597,Dryden,Rio de Moinhos,1056,2200-785,597
598,Sloan,Araripina,5,56280-000,598
599,North,Sävsjö,1452,576 24,599
600,Thompson,Kolindrós,9554,,600
601,Stuart,Apurawan,838,8717,601
602,Armistice,Luxia,298,,602
603,Bayside,Vaxholm,4829,185 31,603
604,Summer Ridge,Menggusi,5654,,604
605,Grasskamp,Odesskoye,31862,646860,605
606,Almo,Concepción,41197,4149,606
607,Northridge,Lipljan,780,,607
608,Gale,Guaitarilla,22264,525508,608
609,Mariners Cove,Kildare,45124,R51,609
610,Veith,Eleftheroúpolis,707,,610
611,Parkside,Banbalah,3246,,611
612,Stoughton,Samamiya,1,,612
613,Glendale,Gaogu,1,,613
614,Dexter,Brckovljani,69,10370,614
615,Village Green,Tabonoc,4,6414,615
616,Lawn,Novi Sad,9,,616
617,Bonner,Enshi,4,,617
618,Mccormick,Guinsang-an,265,9508,618
619,Union,Muarapinang,4,,619
620,West,Taoyuan,03,,620
621,Morning,Sult,6,,621
622,Jenna,Malartic,1230,X0G,622
623,Dovetail,Guadalupe,1592,78786,623
624,Forest,Chalamarca,58,,624
625,Park Meadow,Narsaq,34249,3921,625
626,Eggendart,Darkūsh,6538,,626
627,Towne,Egindiköl,4,,627
628,Shopko,Lashio,206,,628
629,Clarendon,Farnham,97,J2N,629
630,Barby,Mateus Leme,74,35670-000,630
631,Burning Wood,Suphan Buri,2,44130,631
632,Jenifer,Fengshan,32,,632
633,Dunning,Tangkeng,79308,,633
634,Elka,Alicante/Alacant,65,03005,634
635,Sullivan,Qingping,6,,635
636,Crowley,Wuma,9701,,636
637,Bowman,Yongping,684,,637
638,Oak,Mulleriyawa,5697,10600,638
639,Farragut,Tvŭrditsa,25256,8890,639
640,Meadow Vale,Järfälla,918,176 71,640
641,Sommers,Schaan,09371,9494,641
642,Menomonie,Munduk,8841,,642
643,Lighthouse Bay,Makilala,498,9401,643
644,Blue Bill Park,Simajia,6,,644
645,Warner,Dallas,625,75387,645
646,Fieldstone,Yampil’,11846,,646
647,Mifflin,Llama,50,,647
648,Bayside,Golubinci,19489,,648
649,Lillian,Lappeenranta,04,54300,649
650,Stang,Cachoeiro de Itapemirim,279,29300-000,650
651,Pennsylvania,Legionowo,45,05-122,651
652,Bashford,Magisterial,9197,32350,652
653,Dunning,Mompós,91417,473008,653
654,Oak Valley,Yingdianjie,4,,654
655,Dunning,Shujāābād,87,22161,655
656,7th,Vavozh,2876,427314,656
657,Maryland,pamas,130,,657
658,Scoville,Rouen,1617,76177 CEDEX,658
659,Northfield,Qingyang,96,,659
660,Rieder,Nankāna Sāhib,2273,39100,660
661,Mifflin,Star’,5032,242640,661
662,Elmside,Dangcalan,62257,4715,662
663,Cherokee,Rassvet,88,352421,663
664,Oak Valley,Veiga,7783,4650-226,664
665,Gerald,Mahaba,87127,6215,665
666,Talmadge,Sukhothai,8,75120,666
667,Bellgrove,Turze Pole,8828,36-212,667
668,Dixon,Razgrad,3,7219,668
669,Maryland,Markala,0,,669
670,Hermina,Sedayu,70812,,670
671,Holmberg,Gala,0,3090-710,671
672,Pankratz,Novokizhinginsk,2,671454,672
673,Union,Pekalongan,8824,,673
674,Anniversary,Shimoda,32800,886-0112,674
675,Sunnyside,Garnich,6013,L-8356,675
676,Sloan,Sioux Falls,3,57105,676
