id,streetName,city,buildingNr,postalCode,apartmentNr
158,Coolidge,Al Qanāţir al Khayrīyah,97,12-123,137
159,Quincy,Amarillo,73,43-080,175
160,John Wall,Kréstena,73,38-300,114
161,Starling,Cam Lộ,70,12-123,125
162,Morningstar,Karangnongko,88,11-321,114
163,Tennessee,Matango,47,43-080,5
164,Hoepker,Chita,58,11-321,78
165,Autumn Leaf,Negararatu,31,18-209,179
166,Gulseth,Mancos,74,38-300,28
167,Warrior,Fengshan,65,11-321,182
168,Kinsman,Valašská Polanka,76,22-446,3
169,Schurz,Tafo,60,22-446,14
170,Novick,Kastrat,95,11-321,163
171,Buena Vista,Le Raincy,24,67-023,200
172,Sunbrook,Ake-Eze,79,67-023,91
173,Florence,Mizhirah,56,12-123,96
174,Oak Valley,Dawwār Tīnjah,89,18-209,143
175,Becker,Catayauan,99,11-678,129
176,West,Järfälla,23,12-123,109
177,Bellgrove,Qingyang,31,15-145,122
178,Michigan,Thung Song,33,11-678,50
179,Menomonie,Prroshyan,63,11-123,63
180,Cambridge,Kuntong,18,67-023,2
181,Holmberg,Linpu,44,11-123,27
182,Hagan,Goléré,6,11-321,188
183,Nova,Johanneshov,53,38-300,62
184,Arapahoe,Malasiqui,34,43-080,183
185,Kinsman,Venlo,59,38-300,177
186,Dahle,Старо Нагоричане,80,12-123,112
187,Burning Wood,Cemara,56,38-300,80
188,Lindbergh,Prámanta,80,31-421,15
189,Johnson,Gur’yevsk,5,22-446,14
190,Bartillon,Soho,63,22-446,105
191,Novick,Sosnovo-Ozerskoye,90,43-080,40
192,Schlimgen,Emmaboda,82,12-123,179
193,Mallard,Busuanga,51,12-123,126
194,Petterle,Aluminé,58,11-321,167
195,Westend,Lümeng,26,18-209,188
196,Algoma,Czarna,82,11-123,100
197,Pepper Wood,Hongch’ŏn,63,31-421,63
198,Linden,Skhodnitsa,49,11-321,181
199,Pierstorff,Luxi,25,18-209,115
200,Village Green,Campos Belos,47,55-555,180
201,Cottonwood,Cañada de Gómez,80,38-300,157
202,Nelson,Rekovac,4,11-678,190
203,Londonderry,Qiucun,22,43-080,78
204,Stephen,Santa Valha,58,38-300,186
205,Milwaukee,Huji,46,11-123,25
206,Chinook,Gaojimiao,20,11-678,137
207,Jenifer,Lela,22,11-321,75
208,Declaration,Kahnūj,61,11-678,153
209,Hanover,Parakanbeusi,4,11-678,130
210,Lakewood,San Agustin,3,38-300,104
211,Prairieview,Andorinha,42,22-446,33
212,Village Green,Chengbei,3,15-145,115
213,Vidon,Velyka Bilozerka,55,11-321,187
214,Lyons,Ngudu,28,11-678,140
215,Del Sol,Battambang,18,55-555,116
216,Holmberg,Manamrag,16,11-456,98
217,Mandrake,Gandara,36,31-421,194
218,Little Fleur,Ključ,10,15-145,18
219,Morning,Ruma,70,11-456,44
220,Anderson,Tidili Mesfioua,30,67-023,118
221,Welch,Pubu,28,38-300,107
222,New Castle,Aurillac,51,22-446,68
223,Kipling,Jermuk,68,12-123,197
224,Northport,Niechanowo,69,18-209,46
225,Stephen,Changbao,1,67-023,130
226,Union,Yangyu,2,15-145,46
227,Schurz,Zhuxi Chengguanzhen,63,11-123,26
228,Granby,Pilar,74,22-446,137
229,Ruskin,Kariat Arkmane,90,18-209,171
230,Cottonwood,Reina Mercedes,14,15-145,43
231,Jenifer,José Bonifácio,9,43-080,38
232,Utah,Trinidad,71,11-123,145
233,Hoepker,Pärnu,74,11-321,102
234,Golf View,Lewograran,51,15-145,99
235,Pearson,Tarragona,94,43-080,69
236,Spaight,Buy,83,67-023,76
237,Sage,Momignies,60,11-678,99
238,Lighthouse Bay,Valença do Piauí,70,12-123,97
239,Leroy,Montreuil,28,38-300,5
240,Onsgard,Pingling,87,11-321,126
241,Amoth,Muḩammad Āghah Wuluswālī,22,11-321,161
242,Manitowish,Leran Kulon,91,11-456,175
243,Merry,Potoci,15,15-145,189
244,Hagan,Bamban,21,12-123,185
245,Hallows,Rungis,69,22-446,66
246,Rockefeller,Saint-Étienne,28,67-023,53
247,Banding,Krajan Tengah,90,43-080,27
248,Victoria,Jingxin,39,38-300,68
249,Miller,Bingerville,29,11-123,168
250,Hauk,Marshintsy,92,55-555,73
251,Cottonwood,Tanghu,67,11-123,15
252,Mitchell,Pinheiro Machado,10,31-421,143
253,Randy,Hatavch,61,11-123,48
254,Grasskamp,Yanahuaya,2,31-421,75
255,Utah,Bautista,85,67-023,126
256,Troy,Červené Pečky,68,11-456,31
257,Arapahoe,Nagrumbuan,99,11-123,25
258,Russell,Thetford-Mines,8,38-300,96
259,Red Cloud,Bayt ‘Anān,35,11-678,104
260,Hoard,Mirabel,45,55-555,130
261,Walton,Propriá,50,12-123,133
262,Utah,Xinzhan,17,31-421,103
263,Brentwood,Martyush,76,38-300,172
264,Northfield,Vårby,38,38-300,134
265,Esker,Igarapé Miri,36,11-321,176
266,Fallview,Turze Pole,91,67-023,43
267,Forest,Arthur’s Town,92,43-080,108
268,Glacier Hill,Las Vegas,51,55-555,148
269,Northland,Słupno,67,11-123,192
270,Blaine,Gaspra,94,11-321,62
271,Merchant,Cola,88,11-456,65
272,Express,Rasūlnagar,82,55-555,140
273,Truax,Memphis,69,18-209,85
274,Almo,Valencia,69,31-421,10
275,Service,Yongning,98,12-123,20
276,Prairie Rose,Tunis,44,67-023,132
277,Vidon,Dazaifu,51,18-209,21
278,Kensington,Boa Esperança,16,22-446,32
279,Packers,Jutrosin,41,11-456,78
280,Corben,Blang Dalam,44,11-321,172
281,Manley,Tianshan,63,11-321,152
282,Roxbury,Yilkiqi,41,55-555,69
283,La Follette,Huangshi,23,11-456,110
284,Barnett,Tulay na Lupa,98,38-300,148
285,Independence,Pashkovskiy,70,11-321,178
286,Columbus,Angoulême,46,22-446,175
287,Oak Valley,Wichita,30,15-145,69
288,Bartillon,Kawagoe,58,43-080,144
289,Bluejay,Glagahan,51,22-446,53
290,Porter,Pandanrejokrajan,66,12-123,94
291,Towne,Iwatsuki,77,11-678,66
292,Homewood,Suure-Jaani,77,11-123,82
293,Fordem,Shishi,80,15-145,147
294,Mockingbird,Hushaat,63,31-421,178
295,Reindahl,Charneca da Cotovia,48,12-123,147
296,Moulton,Shatrovo,90,12-123,149
297,Burrows,Ajaccio,25,15-145,170
298,Carpenter,Mafa,14,18-209,90
299,Mandrake,Infonavit,35,18-209,103
300,Jana,Banjar Buahan,80,38-300,26
301,Stephen,Westonaria,35,22-446,105
302,Cascade,Peteranec,65,11-678,85
303,Victoria,Anār Darah,14,55-555,180
304,Hazelcrest,Cabo de Vila,53,38-300,192
305,Dennis,Sayama,32,11-123,148
306,Coleman,Kantemirovka,61,11-678,197
307,Brown,Talisay,49,31-421,89
308,Miller,Uva,55,15-145,122
309,Onsgard,Escada,52,31-421,124
310,Hollow Ridge,Lyon,91,11-456,75
311,Eliot,Karanglincak,41,38-300,128
312,Toban,Cayungnan,69,18-209,83
313,Hagan,Nysa,57,12-123,153
314,Huxley,Blerim,97,11-678,86
315,Dunning,Linhares,18,67-023,174
316,Golf View,Andkhōy,9,43-080,145
317,Lakewood Gardens,Bonn,53,43-080,200
318,Weeping Birch,Bastos,90,11-456,102
319,Nobel,Strängnäs,75,15-145,83
320,Maywood,Rayong,83,31-421,7
321,Vernon,Sovetskiy,75,55-555,24
322,Briar Crest,Naranjal,8,11-678,30
323,Shoshone,Kolomyagi,34,18-209,147
324,Bluestem,Novokizhinginsk,10,11-456,31
325,Knutson,Rajhradice,13,11-123,107
326,Grim,Kandana,67,55-555,161
327,Brown,Bella Vista,76,15-145,143
328,Riverside,Sukamaju Kidul,50,11-123,135
329,Clarendon,Fubin,69,55-555,156
330,Lerdahl,Yako,10,43-080,22
331,Lotheville,Junín,91,11-456,126
332,Sundown,Lipljan,20,11-123,151
333,Melvin,Taifu,49,12-123,92
334,Anzinger,Thị Trấn Yên Ninh,32,11-678,16
335,Ludington,Zavetnoye,14,11-123,108
336,Michigan,Baturaja,10,11-678,155
337,Shasta,Orly,60,55-555,65
338,Heath,Santa Lucía,8,11-456,196
339,Dayton,Grazhdanka,43,15-145,118
340,Monterey,Huishi,47,67-023,150
341,Commercial,Beiqijia,97,11-678,131
342,Mayer,Baoluan,74,11-123,10
343,Ohio,Rancaseneng,36,11-123,107
344,Northland,Vihāri,59,55-555,86
345,Anhalt,Oroin Xibe,6,11-321,171
346,Menomonie,Ampahana,80,22-446,4
347,Superior,Hanjia,6,15-145,169
348,Rieder,Shipunovo,45,67-023,191
349,Nelson,Arcena Pequena,55,31-421,159
350,Ohio,Aliwal North,61,15-145,197
351,Welch,Navoiy,66,11-456,42
352,Butterfield,Nový Bydžov,77,11-123,126
353,Union,Oefatu,22,11-678,178
354,Roth,Zhutang,94,43-080,63
355,Maywood,Kvasy,67,38-300,154
356,Leroy,Leeds,70,55-555,92
357,Ryan,Dougang,15,15-145,146
358,Clyde Gallagher,Vila Nova de Milfontes,1,22-446,161
359,Heath,Lille,70,15-145,125
360,Memorial,Genève,47,67-023,184
361,Paget,Podhum,92,31-421,63
362,East,Luxi,92,38-300,115
363,Waxwing,Kitakami,5,12-123,118
364,Garrison,Chão,25,55-555,68
365,Manitowish,Saint-Louis,100,11-678,112
366,Toban,Mandiana,5,11-678,106
367,Sheridan,Dehī,31,11-678,74
368,Mayfield,Daliciasao,67,11-456,111
369,Clove,Dongshan,94,11-678,32
370,Barnett,Nofoali‘i,92,11-321,29
371,Logan,Valday,23,67-023,139
372,Esker,Ar Rumaythīyah,96,18-209,112
373,Duke,‘Amrān,5,15-145,39
374,Del Mar,Zhentian,35,67-023,179
375,Ridgeway,Hernando,67,11-321,14
376,Del Mar,Al Wardānīn,34,67-023,82
377,Green Ridge,San Jose,30,22-446,179
378,Golf Course,Cabeçudos,1,22-446,150
379,Farwell,Niebocko,40,38-300,42
380,Center,Ejmiatsin,30,67-023,56
381,Transport,Tortosa,22,15-145,159
382,Dryden,Drochia,37,11-678,177
383,Arkansas,Lepoglava,49,67-023,19
384,Lawn,Płońsk,87,31-421,32
385,7th,San Sebastian,72,15-145,163
386,Grasskamp,Alajuela,79,43-080,10
387,Manufacturers,Águas de Lindóia,96,11-678,41
388,Miller,Centralniy,66,15-145,17
389,Vermont,Prinza,9,11-456,74
390,Gale,Moissy-Cramayel,20,22-446,23
391,Briar Crest,Węgliniec,76,67-023,8
392,Hallows,Wonocolo,39,11-321,80
393,Hagan,Keta,53,11-123,44
394,Buell,Xiaba,80,11-456,110
395,Trailsway,Huansheng,9,11-678,120
396,Westport,Yumaguzino,66,18-209,92
397,Mcbride,Vallenar,11,55-555,158
398,Northland,Challans,15,55-555,195
399,Scofield,Sławatycze,92,55-555,38
400,Kipling,Panambi,74,11-456,199
401,Dunning,Gyigang,4,43-080,190
402,Onsgard,Pokrovka,25,11-456,193
403,Briar Crest,Radziszów,26,18-209,13
404,Canary,Oumiao,61,11-321,59
405,Mcbride,Rybczewice,52,55-555,166
406,Prairie Rose,Kinsale,17,11-321,107
407,Vera,Igrim,42,22-446,186
408,Rockefeller,Kimberley,82,31-421,100
409,Mesta,Miyako,6,11-678,167
410,Del Mar,Spas-Klepiki,4,11-456,74
411,Killdeer,Núi Đối,13,55-555,8
412,Anniversary,Oeleon,1,11-456,13
413,Roxbury,Višňové,28,18-209,146
414,Hagan,Mishima,79,55-555,183
415,Kingsford,Santo Antônio de Jesus,18,15-145,89
416,4th,Colorado Springs,62,11-456,106
417,Green,Miguelópolis,71,67-023,20
418,Clove,Brignoles,3,11-456,28
419,Hagan,Grzęska,35,11-678,71
420,Myrtle,Tuusniemi,87,55-555,52
421,High Crossing,Monguno,53,15-145,58
422,Service,Soufrière,43,67-023,184
423,Graceland,Vazante,63,22-446,188
424,Anniversary,Estreito,76,18-209,20
425,Orin,Lyeskawka,29,11-321,72
426,Kedzie,Tsingoni,4,31-421,161
427,Hintze,Vila do Bispo,77,11-456,184
428,Buell,Madan,35,55-555,189
429,Goodland,Brzozów,38,38-300,194
430,Morning,Bīrganj,99,38-300,121
431,Randy,Yerba Buena,38,38-300,136
432,Atwood,Tëplaya Gora,71,22-446,149
433,Fordem,Giade,28,43-080,75
434,Kedzie,Distracción,31,38-300,5
435,Meadow Valley,Vendas de Galizes,100,12-123,125
436,Farragut,Krylovskaya,51,15-145,197
437,Warrior,Mammari,61,18-209,131
438,Porter,Rosmalen,44,22-446,55
439,American,Talavera,59,11-123,67
440,Arkansas,Mingguang,28,12-123,49
441,Village,Nan,40,11-678,192
442,Westport,Wafang,10,22-446,172
443,Kinsman,Itabaiana,79,38-300,74
444,Spaight,Kisoro,17,67-023,108
445,American,Caspisapa,20,11-456,137
446,Brentwood,Bolembre,84,11-456,111
447,8th,Toamasina,40,11-321,38
448,Dottie,Pedinó,40,55-555,80
449,Forest Run,Pagak,49,67-023,18
450,Dunning,Trelleborg,35,11-456,199
451,Shoshone,Zaliztsi,78,22-446,184
452,Pennsylvania,Gbarnga,50,55-555,66
453,Welch,Covas,25,11-678,132
454,Vidon,Joubb Jannîne,32,11-456,35
455,Dorton,Jianxincun,93,55-555,47
456,Main,Langtad,91,31-421,115
457,Cascade,Dingyan,80,31-421,112
458,Waxwing,Pointe-à-Pitre,45,22-446,197
459,Esker,Magdalena,13,22-446,188
460,Rowland,Mencon,77,11-321,189
461,Kings,Moss,2,11-321,58
462,Oakridge,San Antonio,64,11-678,98
463,Swallow,Ishige,100,55-555,88
464,Clyde Gallagher,Shinjō,71,11-123,121
465,Sloan,Nyurba,16,15-145,44
466,Maple Wood,Fauske,93,67-023,167
467,Fisk,Logan Lake,58,55-555,154
468,Glacier Hill,Rawawilis,18,11-123,28
469,Comanche,Sędziejowice,25,15-145,198
470,Westport,La Unión,56,22-446,187
471,Maryland,Tsapêraī,53,55-555,51
472,Melrose,Staroutkinsk,27,38-300,10
473,Declaration,Shuidong,14,15-145,61
474,Mifflin,Podgornaya,90,43-080,81
475,Pearson,Hamburg,14,67-023,136
476,Daystar,Kępice,65,15-145,6
477,Lien,Helsingborg,59,11-123,103
478,Fair Oaks,Lewolang,20,15-145,95
479,Petterle,Shanhaiguan,35,11-321,47
480,Moose,Los Angeles,88,67-023,103
481,Esker,Bayt ‘Adhāqah,88,43-080,11
482,Farragut,Mzuzu,91,38-300,20
483,Holy Cross,Willowdale,10,11-123,126
484,Lerdahl,Xinqiaohe,93,55-555,153
485,Hollow Ridge,Futu,92,43-080,1
486,Forest Run,Wang Sombun,17,11-456,160
487,2nd,Phú Vang,74,43-080,161
488,Mcguire,Feijó,25,11-123,153
489,Pierstorff,Sansanné-Mango,13,11-321,9
490,Bay,Kafr Nubl,21,11-456,165
491,Fremont,Coripata,65,55-555,85
492,Sachtjen,Santa Maria do Souto,84,11-321,195
493,Grover,Orange,78,55-555,128
494,Parkside,Socorro,78,11-678,154
495,Caliangt,Bordeaux,35,38-300,161
496,Sommers,Yong’an,75,11-321,134
497,Dwight,Citatah Kaler,73,67-023,24
498,Barby,Bor,9,11-678,12
499,Lindbergh,Huangzhawan,31,31-421,63
500,Longview,Batur Kidul,65,11-321,113
501,Ramsey,Caluya,42,12-123,102
502,Messerschmidt,Al ‘Āliyah,79,31-421,42
503,Grasskamp,Nambalan,1,11-123,16
504,Lukken,Miramichi,100,38-300,114
505,Carey,Huangxi,99,22-446,116
506,Lien,Wenquan,37,67-023,176
507,Garrison,Karobokan,84,15-145,9
508,4th,Maradi,98,31-421,62
509,Mayer,Nova Lima,47,15-145,120
510,Reindahl,Las Flores,98,38-300,22
511,Rusk,La Huerta,33,15-145,83
512,Hoepker,Dingqiao,45,55-555,144
513,Oneill,Fuyang,3,11-123,61
514,Golden Leaf,Los Angeles,20,55-555,37
515,Cordelia,Cristalina,9,12-123,183
516,Leroy,Cigintung,84,12-123,175
517,Mayfield,Jacksonville,41,31-421,148
518,Hansons,Paris 17,95,22-446,66
519,Blue Bill Park,Pangpang,94,11-678,20
520,Hudson,Barapas,1,12-123,95
521,Columbus,Campo Formoso,29,15-145,157
522,Toban,Cabalawan,17,55-555,85
523,Comanche,Kuybyshevo,72,43-080,198
524,Lien,Olmos,97,38-300,63
525,Merry,San José de Colinas,6,55-555,185
526,Glendale,Zhaoxian,94,43-080,60
527,Talmadge,Wongsorejo,99,11-678,98
528,Calypso,Zābolī,41,11-678,172
529,Lighthouse Bay,Sieroszewice,85,18-209,10
530,Delaware,Numeto,85,38-300,149
531,Fremont,Estoril,4,67-023,140
532,Debs,Fort Smith,81,38-300,98
533,Merrick,Saguiaran,76,11-456,191
534,Sheridan,Santa Ana,89,12-123,11
535,Caliangt,Evansville,10,11-678,42
536,Utah,Huangma,60,43-080,118
537,Beilfuss,Skellefteå,47,15-145,52
538,Kingsford,Sundsvall,86,22-446,153
539,Rigney,Kortowo,86,11-123,2
540,Troy,Banja Luka,24,43-080,110
541,Russell,Maredakalada,8,67-023,12
542,Division,Meishan,14,22-446,80
543,Gina,Rio Verde de Mato Grosso,78,38-300,85
544,Kensington,Želiv,27,11-678,76
545,Kedzie,Tsetsegnuur,71,11-321,184
546,Farragut,Filipowice,23,11-456,11
547,Mandrake,Palamadu,30,11-456,124
548,Mallard,Bobowo,20,18-209,91
549,Meadow Vale,Zhongmen,62,18-209,4
550,Claremont,Kotri,53,38-300,113
551,Kennedy,Ryazhsk,39,15-145,94
552,Golf Course,Shengtang,58,55-555,132
553,Gateway,Meitang,24,11-678,173
554,Petterle,Barra dos Coqueiros,77,15-145,94
555,Nova,Xicun,33,11-321,38
556,Portage,Cookshire-Eaton,89,43-080,101
557,Annamark,Kiên Lương,33,43-080,37
558,Shoshone,Arras,47,11-456,198
559,Onsgard,Zavoronezhskoye,21,22-446,196
560,Stephen,Thị Trấn Thọ Xuân,10,43-080,108
561,Marcy,Karangbungur,51,11-678,25
562,Maywood,Nytva,62,18-209,34
563,Schurz,Paphos,34,22-446,150
564,Coleman,San José,50,11-321,90
565,Judy,Sukacai Tengah,46,11-321,116
566,Pleasure,Karangsumber,25,67-023,96
567,Tomscot,Notre-Dame-de-l'Île-Perrot,56,22-446,131
568,Wayridge,Stockholm,73,15-145,115
569,Fulton,Frederiksberg,24,31-421,106
570,David,Dengjiang,59,55-555,62
571,Waxwing,Atami,51,55-555,130
572,Bultman,Siparia,99,11-456,173
573,Dahle,Verkhnya Rozhanka,80,11-123,192
574,Menomonie,Cordon,87,11-456,156
575,Waubesa,Winangun,86,15-145,88
576,Clove,Charleville-Mézières,69,38-300,81
577,Portage,Aix-en-Provence,95,11-456,123
578,Melby,Chaman,72,22-446,99
579,Arkansas,Biyong,26,11-321,46
580,Warbler,Jipijapa,21,67-023,168
581,School,Nantian,65,43-080,167
582,Hovde,Priyutovo,24,15-145,176
583,Ryan,Jintan,70,11-678,75
584,Tennessee,Somorpenang,37,31-421,32
585,Anniversary,Goodlands,12,11-456,180
586,Kensington,Quimper,69,22-446,107
587,Pleasure,Monte Patria,63,55-555,94
588,Milwaukee,Rogoza,65,55-555,144
589,Service,Kireyevsk,85,18-209,100
590,Milwaukee,Manassas,67,11-456,45
591,Stone Corner,Kraljevica,15,11-456,7
592,Mccormick,Tarikolot,11,38-300,186
593,Pearson,La Soledad,73,11-321,97
594,Hollow Ridge,Concordia,15,11-456,127
595,Brickson Park,Čížkovice,93,18-209,159
596,Fulton,Santa Ana,4,11-321,77
597,Delladonna,Montesson,40,43-080,111
598,Grayhawk,Banjarkemuning,55,11-678,38
599,Golden Leaf,Schaan,34,18-209,48
600,Thierer,Ujar,100,67-023,173
601,Memorial,Ocucaje,73,12-123,135
602,East,Kamyshevka Vtoraya,75,22-446,143
603,Trailsway,Acopampa,7,15-145,110
604,Susan,Ilangay,6,22-446,121
605,Florence,Tonga,97,43-080,95
606,Lotheville,Strážná,96,38-300,184
607,Swallow,Helong,5,11-456,75
608,Schmedeman,Zubin Potok,94,15-145,39
609,Sheridan,Borås,15,11-678,136
610,Golf,Huixing,20,55-555,181
611,South,Tola,42,11-123,141
612,Loftsgordon,Gœsdorf,37,22-446,127
613,Corscot,Laau,53,18-209,32
614,Tony,Bulog,46,22-446,162
615,Sutteridge,Stod,4,11-123,103
616,Victoria,Orneta,99,55-555,184
617,8th,Nueva Fuerza,19,12-123,101
618,Barnett,Lille,53,31-421,139
619,Hazelcrest,Kikinda,58,11-456,135
620,Hansons,Bitanjuan,89,11-123,54
621,Acker,Halmstad,38,11-456,77
622,American Ash,Liuhuang,62,43-080,164
623,Hollow Ridge,Steinkjer,42,22-446,10
624,Alpine,Calgary,4,38-300,79
625,Golf,Wuluhan,98,22-446,165
626,Dorton,Etten-Leur,6,12-123,7
627,Melody,Placer,1,15-145,73
628,Troy,Maiyema,50,12-123,4
629,Schlimgen,Shaxi,26,11-456,102
630,Welch,Beaverlodge,57,18-209,1
631,East,Sloboda,62,11-321,137
632,Reindahl,Borås,52,38-300,170
633,Manitowish,Tinumpuk,78,22-446,78
634,Springview,Malummaduri,13,11-321,197
